acpi 1.8-2
alsa-utils 1.2.14-1
arduino-cli 1.3.1-2
base 3-2
base-devel 1-2
blueman 2.4.6-1
bluez 5.85-1
bluez-utils 5.85-1
brave-bin 1:1.83.120-1
brightnessctl 0.5.1-3
btop 1.4.5-1
clang 21.1.6-1
clipman 1.6.5-1
cmake 4.2.0-1
cpupower 6.17-2
curl 8.17.0-2
dosfstools 4.2-5
dunst 1.13.0-1
efibootmgr 18-3
eog 47.0-3
eww 0.6.0-1
fastfetch 2.55.1-1
firefox 145.0.2-1
fish 4.2.1-1
foot 1.25.0-1
freecad 1.0.2-7
gcc 15.2.1+r301+gf24307422d1d-1
git 2.52.0-2
grim 1.5.0-2
grub 2:2.14rc1.r54.g29f3131a-2
gvfs 1.58.0-2
intel-media-driver 25.3.4-1
intel-ucode 20251111-1
jq 1.8.1-1
kitty 0.44.0-1
libreoffice-fresh 25.8.3-2
libva-utils 2.22.0-1
linux 6.17.9.arch1-1
linux-firmware 20251125-1
linux-headers 6.17.9.arch1-1
luarocks 3.12.2-1
lutris 0.5.19-6
make 4.4.1-2
man-db 2.13.1-1
mpv 1:0.40.0-7
mpvpaper 1.8-1
mtools 1:4.0.49-1
nano 8.7-1
neovim 0.11.5-1
network-manager-applet 1.36.0-1
networkmanager 1.54.2-1
npm 11.6.4-1
os-prober 1.83-1
pavucontrol 1:6.2-1
pipewire 1:1.4.9-2
pipewire-alsa 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
polkit-gnome 0.105-12
powertop 2.15-2
python-flask 3.1.2-1
python-flask-login 0.6.3-7
python-flask-sqlalchemy 3.1.1-5
python-flask-wtf 1.2.2-1
python-matplotlib 3.10.8-1
python-numpy 2.3.5-1
python-pip 25.3-1
python-pyqt6 6.10.1-1
reflector 2023-3
rust 1:1.91.1-2
sassc 3.6.2-5
sddm 0.21.0-6
sddm-silent-theme 1.3.5-2
sddm-theme-redrock 0.2-1
seatd 0.9.1-1
slurp 1.5.0-1
sudo 1.9.17.p2-1
swappy 1.8.0-1
swaylock-effects 1.7.0.0-4
swww 0.11.2-1
telegram-desktop 6.3.4-2
thunar 4.20.6-1
thunar-archive-plugin 0.6.0-1
tlp 1.9.0-1
tree 2.2.1-1
ttf-jetbrains-mono-nerd 3.4.0-1
udisks2 2.11.0-1
unzip 6.0-23
vulkan-intel 1:25.2.7-1
vulkan-tools 1.4.328.1-1
waybar 0.14.0-5
wayland-protocols 1.46-1
wget 1.25.0-3
wine 10.20-1
wireplumber 0.5.12-1
wl-clipboard 1:2.2.1-3
wofi 1.5.1-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-hyprland 1.3.11-2
yay 12.5.2-2
yay-debug 12.5.2-2
